Timestamp = 0.0424216, Batch 67, Epoch = 1, Loss = 2.49883, Actual Loss = 2.30276, Wt loss = 0.196066, C++_CUDA_GPU Avg iter time = 0.0005132
Timestamp = 0.0429279, Batch 68, Epoch = 1, Loss = 2.49864, Actual Loss = 2.30258, Wt loss = 0.196062, C++_CUDA_GPU Avg iter time = 0.00050975
Timestamp = 0.0434343, Batch 69, Epoch = 1, Loss = 2.49865, Actual Loss = 2.3026, Wt loss = 0.196058, C++_CUDA_GPU Avg iter time = 0.000508103
Timestamp = 0.0439443, Batch 70, Epoch = 1, Loss = 2.49868, Actual Loss = 2.30263, Wt loss = 0.196053, C++_CUDA_GPU Avg iter time = 0.000509037
Timestamp = 0.044452, Batch 71, Epoch = 1, Loss = 2.49857, Actual Loss = 2.30252, Wt loss = 0.19605, C++_CUDA_GPU Avg iter time = 0.000508397
Timestamp = 0.0449581, Batch 72, Epoch = 1, Loss = 2.49848, Actual Loss = 2.30243, Wt loss = 0.196046, C++_CUDA_GPU Avg iter time = 0.000507207
Timestamp = 0.0454611, Batch 73, Epoch = 1, Loss = 2.49854, Actual Loss = 2.3025, Wt loss = 0.196043, C++_CUDA_GPU Avg iter time = 0.000505122
Timestamp = 0.0459742, Batch 74, Epoch = 1, Loss = 2.49858, Actual Loss = 2.30254, Wt loss = 0.196038, C++_CUDA_GPU Avg iter time = 0.000509108
Timestamp = 0.0464776, Batch 75, Epoch = 1, Loss = 2.49856, Actual Loss = 2.30252, Wt loss = 0.196034, C++_CUDA_GPU Avg iter time = 0.000506269
Timestamp = 0.0469763, Batch 76, Epoch = 1, Loss = 2.49858, Actual Loss = 2.30255, Wt loss = 0.196031, C++_CUDA_GPU Avg iter time = 0.000502466
Timestamp = 0.0474783, Batch 77, Epoch = 1, Loss = 2.49855, Actual Loss = 2.30253, Wt loss = 0.196027, C++_CUDA_GPU Avg iter time = 0.00050224
Timestamp = 0.0479865, Batch 78, Epoch = 1, Loss = 2.49842, Actual Loss = 2.30239, Wt loss = 0.196023, C++_CUDA_GPU Avg iter time = 0.00050521
Timestamp = 0.0487174, Batch 79, Epoch = 1, Loss = 2.49832, Actual Loss = 2.3023, Wt loss = 0.19602, C++_CUDA_GPU Avg iter time = 0.000618056
Timestamp = 0.0492663, Batch 80, Epoch = 1, Loss = 2.49846, Actual Loss = 2.30244, Wt loss = 0.196016, C++_CUDA_GPU Avg iter time = 0.000583493
Timestamp = 0.049776, Batch 81, Epoch = 1, Loss = 2.49844, Actual Loss = 2.30243, Wt loss = 0.196013, C++_CUDA_GPU Avg iter time = 0.000546569
Timestamp = 0.0502809, Batch 82, Epoch = 1, Loss = 2.49871, Actual Loss = 2.3027, Wt loss = 0.196009, C++_CUDA_GPU Avg iter time = 0.000525775
Timestamp = 0.0507967, Batch 83, Epoch = 1, Loss = 2.49856, Actual Loss = 2.30255, Wt loss = 0.196006, C++_CUDA_GPU Avg iter time = 0.000520777
Timestamp = 0.0513084, Batch 84, Epoch = 1, Loss = 2.49898, Actual Loss = 2.30298, Wt loss = 0.196002, C++_CUDA_GPU Avg iter time = 0.000516235
Timestamp = 0.0518176, Batch 85, Epoch = 1, Loss = 2.49859, Actual Loss = 2.30259, Wt loss = 0.195999, C++_CUDA_GPU Avg iter time = 0.000512733
Timestamp = 0.0525789, Batch 86, Epoch = 1, Loss = 2.49836, Actual Loss = 2.30237, Wt loss = 0.195995, C++_CUDA_GPU Avg iter time = 0.000637021
Timestamp = 0.0530974, Batch 87, Epoch = 1, Loss = 2.49854, Actual Loss = 2.30255, Wt loss = 0.195992, C++_CUDA_GPU Avg iter time = 0.000577735
Timestamp = 0.0536051, Batch 88, Epoch = 1, Loss = 2.49876, Actual Loss = 2.30278, Wt loss = 0.195988, C++_CUDA_GPU Avg iter time = 0.000542713
Timestamp = 0.0541159, Batch 89, Epoch = 1, Loss = 2.49846, Actual Loss = 2.30248, Wt loss = 0.195985, C++_CUDA_GPU Avg iter time = 0.000526775
Timestamp = 0.0546184, Batch 90, Epoch = 1, Loss = 2.49871, Actual Loss = 2.30273, Wt loss = 0.195982, C++_CUDA_GPU Avg iter time = 0.000514603
Timestamp = 0.055119, Batch 91, Epoch = 1, Loss = 2.49878, Actual Loss = 2.30281, Wt loss = 0.195978, C++_CUDA_GPU Avg iter time = 0.000507619
Timestamp = 0.0556292, Batch 92, Epoch = 1, Loss = 2.49879, Actual Loss = 2.30282, Wt loss = 0.195974, C++_CUDA_GPU Avg iter time = 0.000508907
Timestamp = 0.0561285, Batch 93, Epoch = 1, Loss = 2.49873, Actual Loss = 2.30276, Wt loss = 0.195971, C++_CUDA_GPU Avg iter time = 0.000504092
Timestamp = 0.0566329, Batch 94, Epoch = 1, Loss = 2.49846, Actual Loss = 2.30249, Wt loss = 0.195968, C++_CUDA_GPU Avg iter time = 0.000504243
Timestamp = 0.0571342, Batch 95, Epoch = 1, Loss = 2.49855, Actual Loss = 2.30258, Wt loss = 0.195965, C++_CUDA_GPU Avg iter time = 0.00050279
Timestamp = 0.0576379, Batch 96, Epoch = 1, Loss = 2.49864, Actual Loss = 2.30268, Wt loss = 0.195961, C++_CUDA_GPU Avg iter time = 0.000503231
Timestamp = 0.0581413, Batch 97, Epoch = 1, Loss = 2.4985, Actual Loss = 2.30254, Wt loss = 0.195957, C++_CUDA_GPU Avg iter time = 0.000503349
Timestamp = 0.0586531, Batch 98, Epoch = 1, Loss = 2.49827, Actual Loss = 2.30232, Wt loss = 0.195955, C++_CUDA_GPU Avg iter time = 0.00050758
Timestamp = 0.0591543, Batch 99, Epoch = 1, Loss = 2.49879, Actual Loss = 2.30283, Wt loss = 0.195951, C++_CUDA_GPU Avg iter time = 0.000504364
Timestamp = 0.0598132, Batch 100, Epoch = 1, Loss = 2.49844, Actual Loss = 2.30249, Wt loss = 0.195947, C++_CUDA_GPU Avg iter time = 0.000581634
Timestamp = 0.0603503, Batch 101, Epoch = 1, Loss = 2.49848, Actual Loss = 2.30253, Wt loss = 0.195944, C++_CUDA_GPU Avg iter time = 0.00055935
Timestamp = 0.0608558, Batch 102, Epoch = 1, Loss = 2.49875, Actual Loss = 2.30281, Wt loss = 0.195941, C++_CUDA_GPU Avg iter time = 0.000532462
Timestamp = 0.0613615, Batch 103, Epoch = 1, Loss = 2.4986, Actual Loss = 2.30266, Wt loss = 0.195938, C++_CUDA_GPU Avg iter time = 0.000519052
Timestamp = 0.0618738, Batch 104, Epoch = 1, Loss = 2.49865, Actual Loss = 2.30272, Wt loss = 0.195935, C++_CUDA_GPU Avg iter time = 0.000515706
Timestamp = 0.0623772, Batch 105, Epoch = 1, Loss = 2.49837, Actual Loss = 2.30244, Wt loss = 0.195932, C++_CUDA_GPU Avg iter time = 0.000509533
Timestamp = 0.0628798, Batch 106, Epoch = 1, Loss = 2.49833, Actual Loss = 2.30241, Wt loss = 0.195929, C++_CUDA_GPU Avg iter time = 0.000506073
Timestamp = 0.0633954, Batch 107, Epoch = 1, Loss = 2.49848, Actual Loss = 2.30255, Wt loss = 0.195926, C++_CUDA_GPU Avg iter time = 0.000510809
Timestamp = 0.063903, Batch 108, Epoch = 1, Loss = 2.49845, Actual Loss = 2.30253, Wt loss = 0.195923, C++_CUDA_GPU Avg iter time = 0.000509234
Timestamp = 0.0644101, Batch 109, Epoch = 1, Loss = 2.49854, Actual Loss = 2.30262, Wt loss = 0.19592, C++_CUDA_GPU Avg iter time = 0.000508137
Timestamp = 0.0649193, Batch 110, Epoch = 1, Loss = 2.4987, Actual Loss = 2.30279, Wt loss = 0.195917, C++_CUDA_GPU Avg iter time = 0.000508693
Timestamp = 0.0654203, Batch 111, Epoch = 1, Loss = 2.49844, Actual Loss = 2.30253, Wt loss = 0.195914, C++_CUDA_GPU Avg iter time = 0.000504833
Timestamp = 0.0659195, Batch 112, Epoch = 1, Loss = 2.49844, Actual Loss = 2.30253, Wt loss = 0.19591, C++_CUDA_GPU Avg iter time = 0.000502014
Timestamp = 0.0664261, Batch 113, Epoch = 1, Loss = 2.49858, Actual Loss = 2.30267, Wt loss = 0.195907, C++_CUDA_GPU Avg iter time = 0.000504292
Timestamp = 0.0669227, Batch 114, Epoch = 1, Loss = 2.49844, Actual Loss = 2.30253, Wt loss = 0.195904, C++_CUDA_GPU Avg iter time = 0.000500476
Timestamp = 0.0674227, Batch 115, Epoch = 1, Loss = 2.49863, Actual Loss = 2.30273, Wt loss = 0.195901, C++_CUDA_GPU Avg iter time = 0.000500207
Timestamp = 0.0679313, Batch 116, Epoch = 1, Loss = 2.49833, Actual Loss = 2.30243, Wt loss = 0.195899, C++_CUDA_GPU Avg iter time = 0.000504431
Timestamp = 0.0684374, Batch 117, Epoch = 1, Loss = 2.49863, Actual Loss = 2.30274, Wt loss = 0.195896, C++_CUDA_GPU Avg iter time = 0.00050528
Timestamp = 0.0689369, Batch 118, Epoch = 1, Loss = 2.49817, Actual Loss = 2.30228, Wt loss = 0.195893, C++_CUDA_GPU Avg iter time = 0.000502373
Timestamp = 0.0694436, Batch 119, Epoch = 1, Loss = 2.49833, Actual Loss = 2.30244, Wt loss = 0.19589, C++_CUDA_GPU Avg iter time = 0.000504526
Timestamp = 0.069952, Batch 120, Epoch = 1, Loss = 2.49865, Actual Loss = 2.30276, Wt loss = 0.195887, C++_CUDA_GPU Avg iter time = 0.000506459
Timestamp = 0.0706279, Batch 121, Epoch = 1, Loss = 2.49842, Actual Loss = 2.30253, Wt loss = 0.195884, C++_CUDA_GPU Avg iter time = 0.000591193
Timestamp = 0.0711595, Batch 122, Epoch = 1, Loss = 2.49825, Actual Loss = 2.30237, Wt loss = 0.195881, C++_CUDA_GPU Avg iter time = 0.000561382
Timestamp = 0.0716632, Batch 123, Epoch = 1, Loss = 2.49863, Actual Loss = 2.30275, Wt loss = 0.195878, C++_CUDA_GPU Avg iter time = 0.000532554
Timestamp = 0.0721689, Batch 124, Epoch = 1, Loss = 2.49842, Actual Loss = 2.30255, Wt loss = 0.195875, C++_CUDA_GPU Avg iter time = 0.00051915
Timestamp = 0.0726754, Batch 125, Epoch = 1, Loss = 2.49839, Actual Loss = 2.30252, Wt loss = 0.195873, C++_CUDA_GPU Avg iter time = 0.000512815
Timestamp = 0.0731821, Batch 126, Epoch = 1, Loss = 2.49821, Actual Loss = 2.30234, Wt loss = 0.19587, C++_CUDA_GPU Avg iter time = 0.000509765
Timestamp = 0.0736964, Batch 127, Epoch = 1, Loss = 2.49867, Actual Loss = 2.3028, Wt loss = 0.195867, C++_CUDA_GPU Avg iter time = 0.000512003
Timestamp = 0.0742095, Batch 128, Epoch = 1, Loss = 2.49851, Actual Loss = 2.30264, Wt loss = 0.195865, C++_CUDA_GPU Avg iter time = 0.000512559
Timestamp = 0.0747219, Batch 129, Epoch = 1, Loss = 2.49851, Actual Loss = 2.30265, Wt loss = 0.195862, C++_CUDA_GPU Avg iter time = 0.000512458
Timestamp = 0.075246, Batch 130, Epoch = 1, Loss = 2.49872, Actual Loss = 2.30286, Wt loss = 0.195859, C++_CUDA_GPU Avg iter time = 0.000518297
Timestamp = 0.0757599, Batch 131, Epoch = 1, Loss = 2.49822, Actual Loss = 2.30236, Wt loss = 0.195857, C++_CUDA_GPU Avg iter time = 0.000516099
Timestamp = 0.0762999, Batch 132, Epoch = 1, Loss = 2.49844, Actual Loss = 2.30259, Wt loss = 0.195854, C++_CUDA_GPU Avg iter time = 0.000528081
Timestamp = 0.0768462, Batch 133, Epoch = 1, Loss = 2.49868, Actual Loss = 2.30282, Wt loss = 0.195851, C++_CUDA_GPU Avg iter time = 0.000537163
Timestamp = 0.0774345, Batch 134, Epoch = 1, Loss = 2.49832, Actual Loss = 2.30247, Wt loss = 0.195849, C++_CUDA_GPU Avg iter time = 0.000562748
Timestamp = 0.0780064, Batch 135, Epoch = 1, Loss = 2.49844, Actual Loss = 2.30259, Wt loss = 0.195846, C++_CUDA_GPU Avg iter time = 0.000567293
Timestamp = 0.0785084, Batch 136, Epoch = 1, Loss = 2.49853, Actual Loss = 2.30268, Wt loss = 0.195844, C++_CUDA_GPU Avg iter time = 0.00053468
Timestamp = 0.0790453, Batch 137, Epoch = 1, Loss = 2.49849, Actual Loss = 2.30265, Wt loss = 0.195842, C++_CUDA_GPU Avg iter time = 0.000535784
