Timestamp = 0.0498741, Batch 87, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000516812
Timestamp = 0.0503548, Batch 88, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000498751
Timestamp = 0.0508346, Batch 89, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000489277
Timestamp = 0.0513028, Batch 90, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000478719
Timestamp = 0.0517686, Batch 91, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000472265
Timestamp = 0.0522364, Batch 92, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000470067
Timestamp = 0.0527046, Batch 93, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000469094
Timestamp = 0.0531763, Batch 94, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000470439
Timestamp = 0.0536425, Batch 95, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000468319
Timestamp = 0.0541121, Batch 96, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000468956
Timestamp = 0.0545781, Batch 97, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00046748
Timestamp = 0.055045, Batch 98, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000467163
Timestamp = 0.0555098, Batch 99, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000465998
Timestamp = 0.0561546, Batch 100, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000555389
Timestamp = 0.0566304, Batch 101, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000515576
Timestamp = 0.0570938, Batch 102, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000489507
Timestamp = 0.0575604, Batch 103, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000478048
Timestamp = 0.0580353, Batch 104, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000476488
Timestamp = 0.0585082, Batch 105, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000474664
Timestamp = 0.0589703, Batch 106, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000468415
Timestamp = 0.0594451, Batch 107, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000471616
Timestamp = 0.0599132, Batch 108, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000469843
Timestamp = 0.0603897, Batch 109, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000473185
Timestamp = 0.0608692, Batch 110, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000476316
Timestamp = 0.0613438, Batch 111, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000475459
Timestamp = 0.0618185, Batch 112, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000475084
Timestamp = 0.0622954, Batch 113, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000476004
Timestamp = 0.0627613, Batch 114, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000470953
Timestamp = 0.0632319, Batch 115, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.00047078
Timestamp = 0.0636956, Batch 116, Epoch = 1, Loss = nan, Actual Loss = nan, Wt loss = nan, C++_CUDA_GPU Avg iter time = 0.000467204
