Timestamp = 0.0343563, Batch 55, Epoch = 1, Loss = 2.35107, Actual Loss = 2.3027, Wt loss = 0.0483673, C++_CUDA_GPU Avg iter time = 0.000464131
Timestamp = 0.0348196, Batch 56, Epoch = 1, Loss = 2.35063, Actual Loss = 2.30226, Wt loss = 0.0483672, C++_CUDA_GPU Avg iter time = 0.00046369
Timestamp = 0.0352815, Batch 57, Epoch = 1, Loss = 2.3509, Actual Loss = 2.30254, Wt loss = 0.0483669, C++_CUDA_GPU Avg iter time = 0.000462803
Timestamp = 0.0357439, Batch 58, Epoch = 1, Loss = 2.35103, Actual Loss = 2.30266, Wt loss = 0.0483668, C++_CUDA_GPU Avg iter time = 0.000462613
Timestamp = 0.0362118, Batch 59, Epoch = 1, Loss = 2.35042, Actual Loss = 2.30205, Wt loss = 0.0483667, C++_CUDA_GPU Avg iter time = 0.00046523
Timestamp = 0.0366765, Batch 60, Epoch = 1, Loss = 2.35109, Actual Loss = 2.30272, Wt loss = 0.0483666, C++_CUDA_GPU Avg iter time = 0.00046498
Timestamp = 0.0371415, Batch 61, Epoch = 1, Loss = 2.35102, Actual Loss = 2.30266, Wt loss = 0.0483664, C++_CUDA_GPU Avg iter time = 0.000464967
Timestamp = 0.0376, Batch 62, Epoch = 1, Loss = 2.35093, Actual Loss = 2.30256, Wt loss = 0.0483663, C++_CUDA_GPU Avg iter time = 0.000461738
Timestamp = 0.0380598, Batch 63, Epoch = 1, Loss = 2.35091, Actual Loss = 2.30254, Wt loss = 0.0483662, C++_CUDA_GPU Avg iter time = 0.000460807
Timestamp = 0.0386226, Batch 64, Epoch = 1, Loss = 2.35083, Actual Loss = 2.30246, Wt loss = 0.0483661, C++_CUDA_GPU Avg iter time = 0.000511771
Timestamp = 0.0390921, Batch 65, Epoch = 1, Loss = 2.35091, Actual Loss = 2.30254, Wt loss = 0.0483659, C++_CUDA_GPU Avg iter time = 0.000490659
Timestamp = 0.0395553, Batch 66, Epoch = 1, Loss = 2.35087, Actual Loss = 2.3025, Wt loss = 0.0483657, C++_CUDA_GPU Avg iter time = 0.00047692
Timestamp = 0.0400153, Batch 67, Epoch = 1, Loss = 2.3515, Actual Loss = 2.30314, Wt loss = 0.0483655, C++_CUDA_GPU Avg iter time = 0.000468431
Timestamp = 0.0404755, Batch 68, Epoch = 1, Loss = 2.35103, Actual Loss = 2.30266, Wt loss = 0.0483654, C++_CUDA_GPU Avg iter time = 0.000464346
Timestamp = 0.0409361, Batch 69, Epoch = 1, Loss = 2.35099, Actual Loss = 2.30263, Wt loss = 0.0483652, C++_CUDA_GPU Avg iter time = 0.000462463
Timestamp = 0.0413989, Batch 70, Epoch = 1, Loss = 2.35106, Actual Loss = 2.30269, Wt loss = 0.0483651, C++_CUDA_GPU Avg iter time = 0.000462657
Timestamp = 0.0418586, Batch 71, Epoch = 1, Loss = 2.35062, Actual Loss = 2.30225, Wt loss = 0.048365, C++_CUDA_GPU Avg iter time = 0.00046115
Timestamp = 0.0423192, Batch 72, Epoch = 1, Loss = 2.35072, Actual Loss = 2.30235, Wt loss = 0.0483649, C++_CUDA_GPU Avg iter time = 0.000460871
Timestamp = 0.0427798, Batch 73, Epoch = 1, Loss = 2.35083, Actual Loss = 2.30247, Wt loss = 0.0483647, C++_CUDA_GPU Avg iter time = 0.000460742
Timestamp = 0.0432399, Batch 74, Epoch = 1, Loss = 2.35118, Actual Loss = 2.30281, Wt loss = 0.0483646, C++_CUDA_GPU Avg iter time = 0.000460423
Timestamp = 0.0437046, Batch 75, Epoch = 1, Loss = 2.35132, Actual Loss = 2.30295, Wt loss = 0.0483645, C++_CUDA_GPU Avg iter time = 0.000462553
Timestamp = 0.0441664, Batch 76, Epoch = 1, Loss = 2.35072, Actual Loss = 2.30235, Wt loss = 0.0483644, C++_CUDA_GPU Avg iter time = 0.000462172
Timestamp = 0.0446287, Batch 77, Epoch = 1, Loss = 2.35114, Actual Loss = 2.30278, Wt loss = 0.0483642, C++_CUDA_GPU Avg iter time = 0.00046227
Timestamp = 0.045093, Batch 78, Epoch = 1, Loss = 2.35057, Actual Loss = 2.30221, Wt loss = 0.0483642, C++_CUDA_GPU Avg iter time = 0.00046326
Timestamp = 0.0457831, Batch 79, Epoch = 1, Loss = 2.35094, Actual Loss = 2.30258, Wt loss = 0.0483641, C++_CUDA_GPU Avg iter time = 0.000576685
Timestamp = 0.0462756, Batch 80, Epoch = 1, Loss = 2.35097, Actual Loss = 2.3026, Wt loss = 0.048364, C++_CUDA_GPU Avg iter time = 0.000534589
Timestamp = 0.046748, Batch 81, Epoch = 1, Loss = 2.35111, Actual Loss = 2.30275, Wt loss = 0.0483637, C++_CUDA_GPU Avg iter time = 0.000503507
Timestamp = 0.0472156, Batch 82, Epoch = 1, Loss = 2.35076, Actual Loss = 2.30239, Wt loss = 0.0483636, C++_CUDA_GPU Avg iter time = 0.000485568
Timestamp = 0.0476824, Batch 83, Epoch = 1, Loss = 2.35094, Actual Loss = 2.30258, Wt loss = 0.0483635, C++_CUDA_GPU Avg iter time = 0.00047614
Timestamp = 0.0481499, Batch 84, Epoch = 1, Loss = 2.3512, Actual Loss = 2.30284, Wt loss = 0.0483633, C++_CUDA_GPU Avg iter time = 0.000471863
Timestamp = 0.0486187, Batch 85, Epoch = 1, Loss = 2.35097, Actual Loss = 2.3026, Wt loss = 0.0483632, C++_CUDA_GPU Avg iter time = 0.000470323
Timestamp = 0.0490853, Batch 86, Epoch = 1, Loss = 2.35077, Actual Loss = 2.30241, Wt loss = 0.048363, C++_CUDA_GPU Avg iter time = 0.000468472
Timestamp = 0.0495543, Batch 87, Epoch = 1, Loss = 2.35092, Actual Loss = 2.30256, Wt loss = 0.0483628, C++_CUDA_GPU Avg iter time = 0.00046873
Timestamp = 0.0500182, Batch 88, Epoch = 1, Loss = 2.35093, Actual Loss = 2.30257, Wt loss = 0.0483627, C++_CUDA_GPU Avg iter time = 0.000466281
Timestamp = 0.0504811, Batch 89, Epoch = 1, Loss = 2.35074, Actual Loss = 2.30237, Wt loss = 0.0483625, C++_CUDA_GPU Avg iter time = 0.000464627
Timestamp = 0.0509424, Batch 90, Epoch = 1, Loss = 2.351, Actual Loss = 2.30263, Wt loss = 0.0483625, C++_CUDA_GPU Avg iter time = 0.000462928
Timestamp = 0.0514038, Batch 91, Epoch = 1, Loss = 2.35079, Actual Loss = 2.30243, Wt loss = 0.0483624, C++_CUDA_GPU Avg iter time = 0.000462186
Timestamp = 0.0518658, Batch 92, Epoch = 1, Loss = 2.3511, Actual Loss = 2.30274, Wt loss = 0.0483622, C++_CUDA_GPU Avg iter time = 0.00046207
Timestamp = 0.0523307, Batch 93, Epoch = 1, Loss = 2.35115, Actual Loss = 2.30279, Wt loss = 0.0483621, C++_CUDA_GPU Avg iter time = 0.000463493
Timestamp = 0.0527925, Batch 94, Epoch = 1, Loss = 2.35086, Actual Loss = 2.3025, Wt loss = 0.0483621, C++_CUDA_GPU Avg iter time = 0.000462671
Timestamp = 0.0532563, Batch 95, Epoch = 1, Loss = 2.35099, Actual Loss = 2.30263, Wt loss = 0.0483619, C++_CUDA_GPU Avg iter time = 0.000463198
Timestamp = 0.0537237, Batch 96, Epoch = 1, Loss = 2.35099, Actual Loss = 2.30263, Wt loss = 0.0483618, C++_CUDA_GPU Avg iter time = 0.000465328
Timestamp = 0.0541909, Batch 97, Epoch = 1, Loss = 2.35105, Actual Loss = 2.30269, Wt loss = 0.0483616, C++_CUDA_GPU Avg iter time = 0.000466236
Timestamp = 0.0546527, Batch 98, Epoch = 1, Loss = 2.35096, Actual Loss = 2.3026, Wt loss = 0.0483615, C++_CUDA_GPU Avg iter time = 0.00046405
Timestamp = 0.0551142, Batch 99, Epoch = 1, Loss = 2.35108, Actual Loss = 2.30272, Wt loss = 0.0483614, C++_CUDA_GPU Avg iter time = 0.000462777
Timestamp = 0.0557436, Batch 100, Epoch = 1, Loss = 2.35113, Actual Loss = 2.30277, Wt loss = 0.0483612, C++_CUDA_GPU Avg iter time = 0.000546054
Timestamp = 0.0562316, Batch 101, Epoch = 1, Loss = 2.35105, Actual Loss = 2.30269, Wt loss = 0.0483611, C++_CUDA_GPU Avg iter time = 0.000517046
Timestamp = 0.0566911, Batch 102, Epoch = 1, Loss = 2.35079, Actual Loss = 2.30243, Wt loss = 0.048361, C++_CUDA_GPU Avg iter time = 0.000488249
Timestamp = 0.0571517, Batch 103, Epoch = 1, Loss = 2.35134, Actual Loss = 2.30298, Wt loss = 0.0483608, C++_CUDA_GPU Avg iter time = 0.000474441
Timestamp = 0.0576144, Batch 104, Epoch = 1, Loss = 2.35068, Actual Loss = 2.30232, Wt loss = 0.0483607, C++_CUDA_GPU Avg iter time = 0.000468559
Timestamp = 0.0580748, Batch 105, Epoch = 1, Loss = 2.35123, Actual Loss = 2.30287, Wt loss = 0.0483606, C++_CUDA_GPU Avg iter time = 0.000464476
Timestamp = 0.058538, Batch 106, Epoch = 1, Loss = 2.35108, Actual Loss = 2.30272, Wt loss = 0.0483604, C++_CUDA_GPU Avg iter time = 0.00046387
Timestamp = 0.0590066, Batch 107, Epoch = 1, Loss = 2.35093, Actual Loss = 2.30257, Wt loss = 0.0483603, C++_CUDA_GPU Avg iter time = 0.000466227
Timestamp = 0.0594724, Batch 108, Epoch = 1, Loss = 2.35107, Actual Loss = 2.30271, Wt loss = 0.0483603, C++_CUDA_GPU Avg iter time = 0.000466039
Timestamp = 0.0599383, Batch 109, Epoch = 1, Loss = 2.3509, Actual Loss = 2.30254, Wt loss = 0.0483601, C++_CUDA_GPU Avg iter time = 0.00046596
Timestamp = 0.0603981, Batch 110, Epoch = 1, Loss = 2.35083, Actual Loss = 2.30247, Wt loss = 0.04836, C++_CUDA_GPU Avg iter time = 0.000462864
Timestamp = 0.0608548, Batch 111, Epoch = 1, Loss = 2.35109, Actual Loss = 2.30273, Wt loss = 0.0483599, C++_CUDA_GPU Avg iter time = 0.000459761
Timestamp = 0.0613089, Batch 112, Epoch = 1, Loss = 2.35064, Actual Loss = 2.30228, Wt loss = 0.0483598, C++_CUDA_GPU Avg iter time = 0.000456958
Timestamp = 0.0617679, Batch 113, Epoch = 1, Loss = 2.35142, Actual Loss = 2.30306, Wt loss = 0.0483597, C++_CUDA_GPU Avg iter time = 0.000457978
Timestamp = 0.0622212, Batch 114, Epoch = 1, Loss = 2.35072, Actual Loss = 2.30236, Wt loss = 0.0483595, C++_CUDA_GPU Avg iter time = 0.00045564
Timestamp = 0.0626729, Batch 115, Epoch = 1, Loss = 2.35112, Actual Loss = 2.30276, Wt loss = 0.0483595, C++_CUDA_GPU Avg iter time = 0.00045365
Timestamp = 0.0631267, Batch 116, Epoch = 1, Loss = 2.35128, Actual Loss = 2.30292, Wt loss = 0.0483592, C++_CUDA_GPU Avg iter time = 0.000453754
Timestamp = 0.0635824, Batch 117, Epoch = 1, Loss = 2.35095, Actual Loss = 2.30259, Wt loss = 0.0483591, C++_CUDA_GPU Avg iter time = 0.000454734
Timestamp = 0.064037, Batch 118, Epoch = 1, Loss = 2.35125, Actual Loss = 2.30289, Wt loss = 0.0483591, C++_CUDA_GPU Avg iter time = 0.000454621
Timestamp = 0.0644935, Batch 119, Epoch = 1, Loss = 2.35065, Actual Loss = 2.30229, Wt loss = 0.0483589, C++_CUDA_GPU Avg iter time = 0.000455571
Timestamp = 0.0649498, Batch 120, Epoch = 1, Loss = 2.35076, Actual Loss = 2.3024, Wt loss = 0.0483588, C++_CUDA_GPU Avg iter time = 0.000455963
Timestamp = 0.0655716, Batch 121, Epoch = 1, Loss = 2.35083, Actual Loss = 2.30247, Wt loss = 0.0483587, C++_CUDA_GPU Avg iter time = 0.00053888
Timestamp = 0.0660629, Batch 122, Epoch = 1, Loss = 2.3513, Actual Loss = 2.30294, Wt loss = 0.0483587, C++_CUDA_GPU Avg iter time = 0.000515099
Timestamp = 0.0665287, Batch 123, Epoch = 1, Loss = 2.35106, Actual Loss = 2.3027, Wt loss = 0.0483586, C++_CUDA_GPU Avg iter time = 0.000490413
Timestamp = 0.0670092, Batch 124, Epoch = 1, Loss = 2.35059, Actual Loss = 2.30223, Wt loss = 0.0483585, C++_CUDA_GPU Avg iter time = 0.000485487
Timestamp = 0.0674763, Batch 125, Epoch = 1, Loss = 2.3512, Actual Loss = 2.30285, Wt loss = 0.0483583, C++_CUDA_GPU Avg iter time = 0.000476255
Timestamp = 0.0679422, Batch 126, Epoch = 1, Loss = 2.35121, Actual Loss = 2.30285, Wt loss = 0.0483583, C++_CUDA_GPU Avg iter time = 0.000471099
Timestamp = 0.0684085, Batch 127, Epoch = 1, Loss = 2.35109, Actual Loss = 2.30273, Wt loss = 0.0483581, C++_CUDA_GPU Avg iter time = 0.000468676
Timestamp = 0.0688727, Batch 128, Epoch = 1, Loss = 2.35097, Actual Loss = 2.30261, Wt loss = 0.048358, C++_CUDA_GPU Avg iter time = 0.000466455
Timestamp = 0.0693381, Batch 129, Epoch = 1, Loss = 2.3508, Actual Loss = 2.30244, Wt loss = 0.0483579, C++_CUDA_GPU Avg iter time = 0.000465933
Timestamp = 0.0698039, Batch 130, Epoch = 1, Loss = 2.35116, Actual Loss = 2.3028, Wt loss = 0.0483577, C++_CUDA_GPU Avg iter time = 0.00046585
Timestamp = 0.0702765, Batch 131, Epoch = 1, Loss = 2.35096, Actual Loss = 2.3026, Wt loss = 0.0483576, C++_CUDA_GPU Avg iter time = 0.000469248
Timestamp = 0.0707392, Batch 132, Epoch = 1, Loss = 2.35067, Actual Loss = 2.30231, Wt loss = 0.0483574, C++_CUDA_GPU Avg iter time = 0.000465956
Timestamp = 0.0712015, Batch 133, Epoch = 1, Loss = 2.35108, Actual Loss = 2.30272, Wt loss = 0.0483572, C++_CUDA_GPU Avg iter time = 0.000464134
Timestamp = 0.0716652, Batch 134, Epoch = 1, Loss = 2.35066, Actual Loss = 2.30231, Wt loss = 0.0483571, C++_CUDA_GPU Avg iter time = 0.000463925
